"PlayerName","pos","points","value"
"Emmanuel Sanders","wr",81.545,14.9116765067886
"Ryan Mathews","rb",129.865,14.8541109488295
"Carson Palmer","qb",273.608,14.3296247540908
"Jeremy Langford","rb",128.92,14.2496725902587
"Allen Hurns","wr",80.5,14.2432764171521
"Frank Gore","rb",127.325,13.2294829797608
"Michael Crabtree","wr",78.87,13.2007002007813
"Devante Parker","wr",78.865,13.197502114228
"Blake Bortles","qb",271.198,12.7881470354075
"Justin Tucker","k",148.3,12.3851881296937
"Mason Crosby","k",147.2,11.681609087971
"Steven Hauschka","k",146.6,11.2978387015769
"Melvin Gordon","rb",123.65,10.8788893630966
"Stefon Diggs","wr",74.93,10.6806079967929
"Torrey Smith","wr",74.72,10.5462883615549
"Tyrod Taylor","qb",267.618,10.4983170632557
"Graham Gano","k",144.4,9.89068061813158
"Delanie Walker","te",72.665,9.81392654085274
"Philip Rivers","qb",265.624,9.22292014580574
"Coby Fleener","te",71.69,9.19029966296221
"Chris Boswell","k",143.3,9.18710157640894
"Eli Manning","qb",265.39,9.07324969511199
"Travis Kelce","te",71.16,8.85130248831403
"Dan Bailey","k",142.5,8.67540772788337
"Marvin Jones","wr",71.775,8.66261538167024
"Josh Brown","k",141.9,8.29163734148921
"Ameer Abdullah","rb",119.245,8.06137510965271
"Chandler Catanzaro","k",141.3,7.90786695509504
"Tavon Austin","wr",70.58,7.89827269543518
"Tyler Lockett","wr",70.565,7.88867843577532
"Kevin White","wr",70.335,7.74156645432423
"Blair Walsh","k",140.8,7.58805829976657
"Tyler Eifert","te",68.155,6.9292524697899
"Antonio Gates","te",67.815,6.71178258416654
"Rashad Jennings","rb",116.3,6.177702129768
"Gary Barnidge","te",66.94,6.15211743734171
"Brandon McManus","k",138.3,5.9890150231242
"Vincent Jackson","wr",67.145,5.70118723332856
"Giovani Bernard","rb",115.3,5.53808481911105
"Andy Dalton","qb",259.37,5.22275348495717
"Ladarius Green","te",64.93,4.86648664292125
"Kirk Cousins","qb",258.508,4.67140336317087
"Sterling Shepard","wr",65.175,4.44114113133438
"Willie Snead","wr",65.075,4.37717940026869
"Matthew Stafford","qb",257.538,4.05097457183365
"Jimmy Graham","te",63.495,3.94863580212852
"Adam Vinatieri","k",135.1,3.94223962902196
"Markus Wheaton","wr",64.055,3.7247697433986
"Robbie Gould","k",134.7,3.68639270475917
"Cairo Santos","k",134.3,3.43054578049641
"Arian Foster","rb",111.86,3.33780127045115
"Jameis Winston","qb",256.206,3.1990043140386
"T.J. Yeldon","rb",111.585,3.16190651002049
"Steve Smith","wr",63.045,3.07875625963508
"Mike Nugent","k",133.7,3.04677539410223
"Jason Witten","te",60.645,2.12572646675623
"LeGarrette Blount","rb",109.74,1.98181257185841
"Zach Miller","te",60.385,1.95942596598542
"Julius Thomas","te",60.185,1.83150250385403
"Terrance Williams","wr",60.98,1.75794651312848
"Dwayne Allen","te",60.04,1.73875799380877
"Tony Romo","qb",252.768,1
"Matt Prater","k",130.5,1
"Isaiah Crowell","rb",108.205,1
"Corey Coleman","wr",59.795,1
"Zach Ertz","te",58.885,1
